game_name,num_apis_tested,avg_reward,win_rate,max_reward,min_reward,has_win,is_unbeaten,max_step,avg_win_step,normalized_reward,step_score,final_score,difficulty_label
plaqueattack_v0,3,-7.666666666666667,0.3333333333333333,5.0,-15.0,True,False,534,534.0,,0.0,,very_hard
pokemon_v0,3,,0.6666666666666666,,,True,False,1000,253.0,,0.747,,very_hard
portals_v0,3,0.0,0.0,0.0,0.0,False,False,2000,,,0.0,,very_hard
racebet2_v0,3,0.0,0.3333333333333333,0.0,0.0,True,False,104,104.0,,0.0,,very_hard
racebet_v0,3,0.0,0.6666666666666666,0.0,0.0,True,False,78,78.0,,0.0,,very_hard
realportals_v0,3,0.0,0.0,0.0,0.0,False,False,20,,,0.0,,very_hard
realsokoban_v0,3,,0.0,,,False,True,2000,,,0.0,,unbeaten
roadfighter_v0,3,0.0,0.0,0.0,0.0,False,False,25,,,0.0,,very_hard
roguelike_v0,3,0.3333333333333333,0.0,1.0,0.0,False,False,2000,,,0.0,,very_hard
run_v0,3,0.0,0.0,0.0,0.0,False,False,152,,,0.0,,very_hard
seaquest_v0,3,673.6666666666666,0.6666666666666666,1010.0,1.0,True,False,1000,1000.0,,0.0,,very_hard
sheriff_v0,3,0.0,0.0,1.0,-1.0,False,False,259,,,0.0,,very_hard
shipwreck_v0,3,0.0,1.0,0.0,0.0,True,True,1000,1000.0,,0.0,,unbeaten
solarfox_v0,3,-7.333333333333333,0.0,-4.0,-13.0,False,False,124,,,0.0,,very_hard
superman_v0,3,0.3333333333333333,0.0,1.0,0.0,False,False,386,,,0.0,,very_hard
surround_v0,3,9.666666666666666,0.6666666666666666,15.0,0.0,True,False,198,25.0,,0.8737373737373737,,very_hard
survivezombies_v0,3,0.0,0.0,0.0,0.0,False,False,330,,,0.0,,very_hard
tercio_v0,3,0.0,0.0,0.0,0.0,False,True,1000,,,0.0,,unbeaten
testgame1_v0,3,-1.3333333333333333,0.0,-1.0,-2.0,False,False,212,,,0.0,,very_hard
testgame2_v0,3,,0.0,,,False,False,1000,,,0.0,,very_hard
testgame3_v0,3,1.6666666666666667,0.3333333333333333,5.0,0.0,True,False,1000,62.0,,0.938,,very_hard
thecitadel_v0,3,0.0,0.0,0.0,0.0,False,True,2000,,,0.0,,unbeaten
themole_v0,3,-0.6666666666666666,0.0,0.0,-1.0,False,False,2000,,,0.0,,very_hard
theshepherd_v0,3,1.6666666666666667,0.0,5.0,0.0,False,True,2000,,,0.0,,unbeaten
thesnowman_v0,3,,0.0,,,False,True,2000,,,0.0,,unbeaten
trappedhero_v0,3,0.0,0.0,0.0,0.0,False,True,1200,,,0.0,,unbeaten
treasurekeeper_v0,3,10.0,0.0,20.0,5.0,False,False,348,,,0.0,,very_hard
vortex_v0,3,0.0,0.0,0.0,0.0,False,True,1000,,,0.0,,unbeaten
waferthinmints_v0,3,-2.6666666666666665,0.6666666666666666,2.0,-10.0,True,False,1500,1500.0,,0.0,,very_hard
waferthinmintsexit_v0,3,6.0,0.6666666666666666,10.0,4.0,True,False,41,14.5,,0.6463414634146342,,very_hard
waitforbreakfast_v0,3,0.0,0.0,0.0,0.0,False,False,8,,,0.0,,very_hard
waves_v0,3,1.3333333333333333,0.3333333333333333,4.0,0.0,True,False,1000,1000.0,,0.0,,very_hard
whackamole_v0,3,4.333333333333333,0.0,12.0,-3.0,False,False,377,,,0.0,,very_hard
wildgunman_v0,3,2.3333333333333335,0.0,5.0,-1.0,False,False,260,,,0.0,,very_hard
witnessprotected_v0,3,0.0,0.0,0.0,0.0,False,False,509,,,0.0,,very_hard
witnessprotection_v0,3,0.0,0.0,0.0,0.0,False,False,114,,,0.0,,very_hard
x-racer_v0,3,0.0,0.0,0.0,0.0,False,False,146,,,0.0,,very_hard
zelda_v0,3,-0.3333333333333333,0.0,0.0,-1.0,False,False,676,,,0.0,,very_hard
zenpuzzle_v0,3,14.666666666666666,0.0,32.0,4.0,False,True,2000,,,0.0,,unbeaten
