model,game,level,run_id,game_level,total_steps,meaningful_steps,meaningful_ratio,total_distance,avg_distance_per_step,winner,total_reward,reward_steps,max_reward,final_reward,won,normalized_reward
chatgpt 4o-mini,aliens,4,2,aliens-lvl4,592,268,0.4527027027027027,540,0.9121621621621622,PLAYER_LOSES,15.0,10,2.0,0.0,False,0.24999999995833333
chatgpt 4o-mini,aliens,4,4,aliens-lvl4,391,191,0.4884910485933504,276,0.7058823529411765,PLAYER_LOSES,24.0,15,2.0,0.0,False,0.39999999993333335
chatgpt 4o-mini,aliens,4,3,aliens-lvl4,295,139,0.4711864406779661,256,0.8677966101694915,PLAYER_LOSES,16.0,13,2.0,0.0,False,0.2666666666222222
chatgpt 4o-mini,aliens,4,1,aliens-lvl4,155,84,0.5419354838709678,104,0.6709677419354839,PLAYER_LOSES,12.0,10,2.0,0.0,False,0.19999999996666668
chatgpt 4o-mini,escape,1,5,escape-lvl1,21,14,0.6666666666666666,17,0.8095238095238095,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,escape,1,2,escape-lvl1,84,43,0.5119047619047619,60,0.7142857142857143,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,escape,1,4,escape-lvl1,67,32,0.47761194029850745,42,0.6268656716417911,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,escape,1,3,escape-lvl1,46,13,0.2826086956521739,20,0.43478260869565216,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,escape,1,1,escape-lvl1,907,315,0.3472987872105843,470,0.5181918412348401,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,aliens,3,5,aliens-lvl3,843,425,0.5041518386714117,527,0.6251482799525504,PLAYER_LOSES,43.0,24,2.0,0.0,False,0.99999999975
chatgpt 4o-mini,aliens,3,2,aliens-lvl3,259,137,0.528957528957529,196,0.7567567567567568,PLAYER_LOSES,4.0,3,2.0,0.0,False,0.02499999999375
chatgpt 4o-mini,aliens,3,4,aliens-lvl3,713,368,0.5161290322580645,497,0.697054698457223,PLAYER_LOSES,36.0,20,2.0,0.0,False,0.8249999997937499
chatgpt 4o-mini,aliens,3,3,aliens-lvl3,448,234,0.5223214285714286,341,0.7611607142857143,PLAYER_LOSES,24.0,15,2.0,0.0,False,0.52499999986875
chatgpt 4o-mini,aliens,3,1,aliens-lvl3,340,175,0.5147058823529411,305,0.8970588235294118,PLAYER_LOSES,13.0,7,2.0,0.0,False,0.2499999999375
chatgpt 4o-mini,zelda,0,5,zelda-lvl0,174,28,0.16091954022988506,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,0,2,zelda-lvl0,218,19,0.0871559633027523,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,0,4,zelda-lvl0,146,12,0.0821917808219178,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
